feature,type,top_trial_appearances,appearance_rate
hp_to_1b,batter,19,0.21839080459770116
poorlyweak_percent,batter,19,0.21839080459770116
wobadiff,batter,18,0.20689655172413793
hard_hit_percent,batter,18,0.20689655172413793
opposite_percent,batter,17,0.19540229885057472
xbacon,batter,16,0.1839080459770115
meatball_percent,batter,16,0.1839080459770115
wobacon,batter,15,0.1724137931034483
meatball_swing_percent,batter,15,0.1724137931034483
z_swing_miss_percent,batter,14,0.16091954022988506
pull_percent,batter,14,0.16091954022988506
oz_contact_percent,batter,13,0.14942528735632185
straightaway_percent,batter,13,0.14942528735632185
xbadiff,batter,13,0.14942528735632185
popups_percent,batter,13,0.14942528735632185
solidcontact_percent,pitcher,13,0.14942528735632185
oz_swing_miss_percent,pitcher,13,0.14942528735632185
xslg,pitcher,13,0.14942528735632185
xslgdiff,batter,12,0.13793103448275862
edge_percent,batter,12,0.13793103448275862
solidcontact_percent,batter,12,0.13793103448275862
launch_angle_avg,batter,12,0.13793103448275862
wobacon,pitcher,12,0.13793103448275862
edge_percent,pitcher,12,0.13793103448275862
xwoba,pitcher,12,0.13793103448275862
whiff_percent,batter,12,0.13793103448275862
avg_hyper_speed,batter,12,0.13793103448275862
sweet_spot_percent,batter,12,0.13793103448275862
xobp,pitcher,12,0.13793103448275862
linedrives_percent,pitcher,12,0.13793103448275862
xwobacon,pitcher,11,0.12643678160919541
xslgdiff,pitcher,11,0.12643678160919541
iz_contact_percent,batter,11,0.12643678160919541
flareburner_percent,batter,11,0.12643678160919541
avg_best_speed,batter,11,0.12643678160919541
oz_swing_miss_percent,batter,11,0.12643678160919541
groundballs_percent,batter,10,0.11494252873563218
bb_percent,batter,10,0.11494252873563218
poorlyunder_percent,batter,10,0.11494252873563218
xobp,batter,10,0.11494252873563218
xera,pitcher,10,0.11494252873563218
sweet_spot_percent,pitcher,10,0.11494252873563218
oz_swing_percent,batter,10,0.11494252873563218
exit_velocity_avg,pitcher,10,0.11494252873563218
wobadiff,pitcher,10,0.11494252873563218
iz_contact_percent,pitcher,10,0.11494252873563218
arm_angle,pitcher,10,0.11494252873563218
xwoba,batter,9,0.10344827586206896
meatball_percent,pitcher,9,0.10344827586206896
flyballs_percent,batter,9,0.10344827586206896
sprint_speed,batter,9,0.10344827586206896
oz_swing_percent,pitcher,9,0.10344827586206896
ff_avg_spin,pitcher,9,0.10344827586206896
ff_avg_break_x,pitcher,8,0.09195402298850575
z_swing_miss_percent,pitcher,8,0.09195402298850575
z_swing_percent,batter,8,0.09195402298850575
bacon,batter,8,0.09195402298850575
k_percent,batter,8,0.09195402298850575
f_strike_percent,batter,8,0.09195402298850575
swing_percent,batter,7,0.08045977011494253
launch_angle_avg,pitcher,7,0.08045977011494253
z_swing_percent,pitcher,7,0.08045977011494253
xba,pitcher,7,0.08045977011494253
avg_best_speed,pitcher,7,0.08045977011494253
xba,batter,7,0.08045977011494253
xwobacon,batter,7,0.08045977011494253
poorlytopped_percent,batter,7,0.08045977011494253
exit_velocity_avg,batter,7,0.08045977011494253
flyballs_percent,pitcher,7,0.08045977011494253
barrel_batted_rate,pitcher,7,0.08045977011494253
oz_contact_percent,pitcher,6,0.06896551724137931
barrel_batted_rate,batter,6,0.06896551724137931
xiso,pitcher,6,0.06896551724137931
ff_avg_break_z,pitcher,6,0.06896551724137931
popups_percent,pitcher,6,0.06896551724137931
bb_percent,pitcher,6,0.06896551724137931
avg_hyper_speed,pitcher,6,0.06896551724137931
k_percent,pitcher,6,0.06896551724137931
groundballs_percent,pitcher,6,0.06896551724137931
xslg,batter,5,0.05747126436781609
ff_avg_speed,pitcher,5,0.05747126436781609
linedrives_percent,batter,5,0.05747126436781609
xbadiff,pitcher,5,0.05747126436781609
whiff_percent,pitcher,5,0.05747126436781609
swing_percent,pitcher,4,0.04597701149425287
hard_hit_percent,pitcher,4,0.04597701149425287
ch_avg_spin,pitcher,3,0.034482758620689655
cu_avg_spin,pitcher,3,0.034482758620689655
f_strike_percent,pitcher,2,0.022988505747126436
cu_avg_speed,pitcher,2,0.022988505747126436
xiso,batter,1,0.011494252873563218
ch_avg_speed,pitcher,1,0.011494252873563218
